기준년월,시군구,평균소득월액
2021-12,인천광역시계양구,1379073
2021-12,인천광역시서구,1438307
2021-12,인천광역시강화군,1437892
2021-12,인천광역시옹진군,1500897
2021-12,광주광역시동구,1353582
2021-12,광주광역시서구,1377090
2021-12,광주광역시남구,1334042
2021-12,광주광역시북구,1336531
2021-12,광주광역시광산구,1350362
2021-12,대전광역시동구,1334725
2021-12,대전광역시중구,1359873
2021-12,대전광역시서구,1375997
2021-12,대전광역시유성구,1433491
2021-12,대전광역시대덕구,1355045
2021-12,울산광역시중구,1348640
2021-12,울산광역시남구,1411219
2021-12,울산광역시동구,1287726
2021-12,울산광역시북구,1362258
2021-12,울산광역시울주군,1398548
2021-12,세종특별자치시,1442994
2021-12,경기도수원시,1422356
2021-12,경기도성남시,1490741
2021-12,경기도의정부시,1352308
2021-12,경기도안양시,1459881
2021-12,경기도부천시,1392220
2021-12,경기도광명시,1455978
2021-12,경기도평택시,1417502
2021-12,경기도동두천시,1330818
2021-12,경기도안산시,1398068
2021-12,경기도고양시,1429299
2021-12,경기도과천시,1631034
2021-12,경기도구리시,1420057
2021-12,경기도남양주시,1442788
2021-12,경기도오산시,1434254
2021-12,경기도시흥시,1477311
2021-12,경기도군포시,1449296
2021-12,경기도의왕시,1503400
2021-12,경기도하남시,1532599
2021-12,경기도용인시,1522214
2021-12,경기도파주시,1419529
2021-12,경기도이천시,1455201
2021-12,경기도안성시,1399260
2021-12,경기도김포시,1510663
2021-12,경기도화성시,1483688
2021-12,경기도광주시,1460725
2021-12,경기도양주시,1381058
2021-12,경기도포천시,1435286
2021-12,경기도여주시,1415653
2021-12,경기도연천군,1338251
2021-12,경기도가평군,1410398
2021-12,경기도양평군,1444153
2021-12,강원특별자치도춘천시,1387636
2021-12,강원특별자치도원주시,1373677
2021-12,강원특별자치도강릉시,1333791
2021-12,강원특별자치도동해시,1351184
2021-12,강원특별자치도태백시,1294939
2021-12,강원특별자치도속초시,1465982
2021-12,강원특별자치도삼척시,1301183
2021-12,강원특별자치도홍천군,1386372
2021-12,강원특별자치도횡성군,1344013
2021-12,강원특별자치도영월군,1318412
2021-12,강원특별자치도평창군,1322068
2021-12,강원특별자치도정선군,1300184
2021-12,강원특별자치도철원군,1388242
2021-12,강원특별자치도화천군,1381875
2021-12,강원특별자치도양구군,1288623
2021-12,강원특별자치도인제군,1391607
2021-12,강원특별자치도고성군,1394097
2021-12,강원특별자치도양양군,1372000
2021-12,충청북도청주시,1394001
2021-12,충청북도충주시,1357326
2021-12,충청북도제천시,1362871
2021-12,충청북도보은군,1284549
2021-12,충청북도옥천군,1361563
2021-12,충청북도영동군,1288501
2021-12,충청북도증평군,1391584
2021-12,충청북도진천군,1486529
2021-12,충청북도괴산군,1303955
2021-12,충청북도음성군,1458397
2021-12,충청북도단양군,1283628
2021-12,충청남도천안시,1407882
2021-12,충청남도공주시,1351716
2021-12,충청남도보령시,1397940
2021-12,충청남도아산시,1433163
