지표연도,적용기간,성별,시도,시군구,평균 기대수명,보험료1분위,보험료2분위,보험료3분위,보험료4분위,보험료5분위,기대수명격차
2021,6년,전체,인천광역시,부평구,83.94,79.10,84.60,84.90,85.36,86.76,7.66
2021,6년,남성,인천광역시,계양구,80.52,75.27,81.21,81.07,82.35,84.01,8.74
2021,6년,여성,인천광역시,계양구,86.35,83.29,86.61,86.65,87.46,88.76,5.47
2021,6년,전체,인천광역시,계양구,83.73,79.28,84.10,84.20,85.23,87.07,7.80
2021,6년,남성,인천광역시,서구,80.82,76.11,81.20,81.74,82.10,84.07,7.96
2021,6년,여성,인천광역시,서구,86.67,83.68,86.73,86.74,86.81,90.78,7.10
2021,6년,전체,인천광역시,서구,83.97,79.82,84.08,84.60,84.84,87.78,7.96
2021,6년,남성,인천광역시,강화군,80.18,74.58,81.10,82.00,81.90,82.54,7.96
2021,6년,여성,인천광역시,강화군,87.54,82.35,87.37,88.64,89.84,90.24,7.88
2021,6년,전체,인천광역시,강화군,83.76,78.14,84.35,85.39,85.54,86.67,8.54
2021,6년,남성,인천광역시,옹진군,80.93,75.19,81.56,81.25,84.61,83.61,8.42
2021,6년,여성,인천광역시,옹진군,88.02,85.78,86.64,88.21,90.38,90.61,4.83
2021,6년,전체,인천광역시,옹진군,84.56,80.29,84.32,84.58,87.98,86.35,6.06
2021,4년,남성,광주광역시,전체,81.55,75.76,81.96,83.06,83.86,84.76,9.00
2021,4년,여성,광주광역시,전체,86.74,82.88,86.52,87.41,88.04,90.60,7.72
2021,4년,전체,광주광역시,전체,84.41,79.32,84.39,85.65,86.36,88.14,8.82
2021,6년,남성,광주광역시,동구,80.87,73.25,81.82,82.96,83.89,84.61,11.36
2021,6년,여성,광주광역시,동구,86.04,80.24,86.01,87.04,90.01,89.53,9.29
2021,6년,전체,광주광역시,동구,83.58,76.58,84.00,85.28,86.96,87.36,10.78
2021,6년,남성,광주광역시,서구,81.56,76.40,81.52,82.70,83.71,84.65,8.25
2021,6년,여성,광주광역시,서구,87.41,83.59,86.58,88.86,88.41,91.61,8.02
2021,6년,전체,광주광역시,서구,84.65,80.00,84.17,85.99,86.39,88.15,8.15
2021,6년,남성,광주광역시,남구,81.36,76.68,81.21,81.68,83.44,84.95,8.27
